X,Y
2.827068099979284,-20.673749487630403
3.3959636294719395,-22.267384204471824
4.026894445252481,-24.220735432175484
4.786854249031457,-26.122981924922975
5.102319656921729,-27.099657538774807
5.737878327096748,-28.333840193576535
6.309748905842994,-29.465152256409574
7.076650491213687,-30.288645889804172
7.838593661161724,-31.88267727987941
8.859255929162973,-33.271760832484894
9.945259093733885,-34.50686905816552
11.351686081617721,-35.94811514101733
12.951821832013295,-37.28701952954554
14.810015558405727,-38.523714448161414
17.248674450277015,-39.55612265136389
20.5892140140246,-40.43627444498803
24.38515648759074,-40.54681405281043
27.991356930983272,-40.14326514961192
31.28010860031646,-39.07125573523384
33.795016902687244,-38.25450554681405
36.11952205282807,-37.026405214930776
38.05594855588906,-36.10572663925214
39.47625910695633,-35.38946700339817
40.44546404157136,-34.77502016422272
