X,Y
1.037565967486728,1.1954572549411253
2.195348024330338,1.8221538403922324
4.411855578407293,2.596892233079398
7.373253480555389,3.2508153284876555
11.528573167344417,3.7533260720984454
16.42578716259444,4.075175627217772
22.214322941861226,4.201177818071737
26.791709708728767,4.134478486250988
33.83951838663266,3.914456827381306
38.259238569016574,3.6983674704999334
44.54492967109102,3.255047234436979
49.40768921082444,2.8886690406119415
54.118774245294496,2.4925926041513877
58.08197289208328,2.1574855737571896
59.94794381177382,1.9302546945756083
