T,Diff
1167.672260430857,2.7271859188908407e-08
1125.555690099852,1.3918943170858026e-08
1075.4297250355578,1.291975469477666e-08
1076.418576558997,1.2187404581196234e-08
1076.5081551231399,1.0923677550962477e-08
1077.0511708586296,1.000786478086438e-08
1070.9616439395768,9.933177399116795e-09
1024.0344304612474,6.49493619305232e-09
997.0831960360755,3.5148963028927875e-09
1002.4578719710894,3.0828006068499128e-09
947.4539349886566,2.2641522335362464e-09
1075.6085680055821,1.0379335610165362e-08
